InvoiceNo,Quantity,InvoiceDate,CustomerID,Country,StockCode,Description,UnitPrice
536365,9,2010-12-28T18:35,10013,Italy,88407D,FRUIT & VEG STORAGE BASKET,11.69
536366,5,2010-12-23T08:47,14295,Italy,22611W,FRUIT & VEG STORAGE BASKET,13.94
536366,3,2011-01-01T19:48,18514,Italy,17201D,GLASS JAR,24.24
536367,16,2011-02-06T04:52,12127,Italy,78234V,WHITE HANGING HEART T-LIGHT HOLDER,4.30
536369,14,2011-01-11T20:31,14304,Italy,78073M,CREAM CUPID HEARTS COAT HANGER,20.45
536370,8,2010-12-07T17:59,15231,Italy,46579O,FOOD STORAGE CONTAINER,18.41
536370,4,2011-02-05T11:54,17968,Italy,43725R,WOODEN TRAY,10.97
536371,8,2010-12-25T01:43,16053,Italy,85191X,PLASTIC BOTTLE,6.01
536373,12,2010-12-19T17:43,11328,Italy,15804X,PLASTIC BOTTLE,6.97
536375,15,2010-12-27T21:46,18149,Italy,28295V,WHITE HANGING HEART T-LIGHT HOLDER,15.21
536376,13,2010-12-08T01:10,11293,Italy,25126E,WHITE HANGING HEART T-LIGHT HOLDER,22.14
536378,4,2010-12-14T05:16,17010,Italy,34804K,GLASS JAR,16.86
536378,18,2011-01-31T02:43,14426,Italy,17123G,CREAM CUPID HEARTS COAT HANGER,12.93
536382,3,2011-01-08T22:43,19677,Italy,87164Y,FRUIT & VEG STORAGE BASKET,12.84
536383,3,2010-12-20T21:38,10448,Italy,22841E,WHITE METAL LANTERN,2.77
536383,12,2011-01-05T21:35,19148,Italy,36560D,WHITE METAL LANTERN,23.93
536383,19,2011-02-02T17:47,17984,Italy,71744Z,GLASS JAR,18.78
536384,10,2011-01-15T03:30,15384,Italy,19766K,CREAM CUPID HEARTS COAT HANGER,13.20
536385,8,2010-12-22T00:31,12898,Italy,42411D,FRUIT & VEG STORAGE BASKET,23.07
536387,20,2011-02-03T15:02,11453,Italy,42932L,CREAM CUPID HEARTS COAT HANGER,3.97
536388,4,2010-12-27T02:28,19729,Italy,64142L,PLASTIC BOTTLE,9.36
536389,8,2010-12-25T19:18,10510,Italy,80793F,GLASS JAR,3.16
536394,2,2011-01-29T20:56,18840,Italy,13761Q,GLASS JAR,16.06
536394,2,2010-12-17T05:48,13016,Italy,46328K,PLASTIC BOTTLE,23.31
536395,12,2010-12-12T23:15,19937,Italy,71645K,WHITE METAL LANTERN,13.44
536397,17,2010-12-04T02:58,11010,Italy,99716Z,WHITE HANGING HEART T-LIGHT HOLDER,19.80
536399,18,2011-01-06T17:55,15268,Italy,66592U,FOOD STORAGE CONTAINER,2.57
536402,12,2011-02-02T19:05,17616,Italy,69670I,PLASTIC BOTTLE,12.16
536403,20,2010-12-24T17:19,15995,Italy,79981Y,GLASS JAR,24.19
536404,10,2011-01-20T16:54,17767,Italy,17050D,PLASTIC BOTTLE,18.52
536409,16,2011-01-06T05:17,10425,Italy,23672A,WHITE HANGING HEART T-LIGHT HOLDER,11.63
536410,5,2010-12-17T23:11,18230,Italy,68737A,FRUIT & VEG STORAGE BASKET,1.17
536411,15,2010-12-31T19:16,18923,Italy,46718F,GLASS JAR,1.38
536411,8,2010-12-24T18:36,11865,Italy,89648R,WHITE METAL LANTERN,18.38
536412,6,2010-12-09T17:05,12318,Italy,34997I,FOOD STORAGE CONTAINER,24.29
536422,1,2010-12-26T06:15,13447,Italy,47659H,PLASTIC BOTTLE,7.43
536423,19,2010-12-12T07:18,19490,Italy,78653Q,FOOD STORAGE CONTAINER,9.65
536424,3,2010-12-14T18:28,16247,Italy,11677S,FOOD STORAGE CONTAINER,6.88
536426,10,2010-12-13T02:54,14667,Italy,42380D,CREAM CUPID HEARTS COAT HANGER,10.14
536431,8,2010-12-02T17:48,12182,Italy,93870P,WOODEN TRAY,4.54
536432,12,2010-12-11T06:11,12197,Italy,23840L,WOODEN TRAY,24.76
536432,20,2011-02-04T13:56,13672,Italy,18013L,WOODEN TRAY,9.76
536436,17,2011-01-15T16:25,17687,Italy,14341L,WOODEN TRAY,18.26
536436,13,2010-12-28T10:46,15154,Italy,85517Z,WHITE HANGING HEART T-LIGHT HOLDER,17.24
536437,5,2010-12-15T16:17,11343,Italy,82094Y,CREAM CUPID HEARTS COAT HANGER,15.73
536437,19,2011-02-04T14:18,11965,Italy,63935H,GLASS JAR,1.67
536440,6,2011-01-03T20:31,17206,Italy,13325N,CREAM CUPID HEARTS COAT HANGER,24.97
536442,2,2011-01-23T12:24,11907,Italy,50203R,FRUIT & VEG STORAGE BASKET,14.24
536443,15,2011-01-08T19:37,19427,Italy,95231W,WHITE HANGING HEART T-LIGHT HOLDER,18.46
536444,13,2011-02-01T23:44,11109,Italy,73728X,WHITE HANGING HEART T-LIGHT HOLDER,15.01
536445,13,2010-12-28T19:41,12831,Italy,86686J,PLASTIC BOTTLE,10.93
536447,17,2011-02-04T13:19,19557,Italy,67252A,GLASS JAR,23.76
536447,1,2010-12-07T12:47,19245,Italy,37941T,FOOD STORAGE CONTAINER,14.09
536448,17,2010-12-10T14:02,11332,Italy,81821X,GLASS JAR,14.00
536449,16,2011-01-29T23:08,10750,Italy,68629K,CREAM CUPID HEARTS COAT HANGER,23.20
536451,16,2010-12-17T02:19,16291,Italy,17385S,FRUIT & VEG STORAGE BASKET,8.67
536451,5,2010-12-18T01:14,19763,Italy,15466G,WHITE HANGING HEART T-LIGHT HOLDER,22.62
536452,10,2010-12-11T08:08,17234,Italy,48939S,FRUIT & VEG STORAGE BASKET,3.79
536453,12,2011-01-12T04:57,10035,Italy,34441M,PLASTIC BOTTLE,11.32
536454,13,2011-02-05T04:47,11853,Italy,48001W,PLASTIC BOTTLE,1.60
536463,11,2011-01-07T02:58,15763,Italy,62859M,WHITE HANGING HEART T-LIGHT HOLDER,22.73
536463,8,2010-12-24T09:07,12283,Italy,54064C,WHITE HANGING HEART T-LIGHT HOLDER,6.39
536463,9,2010-12-11T07:33,10356,Italy,55622U,FRUIT & VEG STORAGE BASKET,18.89
536467,6,2010-12-08T11:59,14188,Italy,86143L,WOODEN TRAY,14.00
536469,2,2010-12-10T13:47,10621,Italy,40158F,PLASTIC BOTTLE,20.44
536470,15,2011-01-18T00:53,14166,Italy,99697D,FOOD STORAGE CONTAINER,6.28
536470,14,2011-01-04T23:20,13645,Italy,16971N,PLASTIC BOTTLE,1.35
536470,10,2011-01-27T04:58,17520,Italy,71764S,FOOD STORAGE CONTAINER,16.54
536471,8,2011-02-01T09:53,15668,Italy,32791M,GLASS JAR,16.11
536472,15,2011-01-17T01:04,15965,Italy,31399Z,CREAM CUPID HEARTS COAT HANGER,3.52
536475,17,2011-01-29T18:45,16663,Italy,58434R,CREAM CUPID HEARTS COAT HANGER,0.66
536475,19,2011-01-30T13:36,19677,Italy,14212L,FRUIT & VEG STORAGE BASKET,6.83
536477,16,2011-02-04T21:23,18374,Italy,73262W,PLASTIC BOTTLE,5.43
536484,17,2011-01-11T04:05,17274,Italy,78735V,WHITE HANGING HEART T-LIGHT HOLDER,7.21
536485,16,2011-01-31T14:31,15925,Italy,16882X,FRUIT & VEG STORAGE BASKET,21.62
536485,6,2011-02-07T18:10,15612,Italy,51602D,CREAM CUPID HEARTS COAT HANGER,0.55
536486,4,2011-02-03T14:38,14087,Italy,67674E,WHITE HANGING HEART T-LIGHT HOLDER,7.01
536486,5,2010-12-23T02:09,18530,Italy,86663X,WHITE METAL LANTERN,24.13
536492,5,2010-12-03T10:08,18292,Italy,98821W,GLASS JAR,18.09
536492,18,2010-12-14T08:00,14285,Italy,72694U,PLASTIC BOTTLE,2.38
536493,12,2011-02-07T18:52,13530,Italy,19289A,FRUIT & VEG STORAGE BASKET,15.09
536496,4,2011-01-16T11:38,12531,Italy,20990P,CREAM CUPID HEARTS COAT HANGER,11.08
536497,15,2011-01-01T04:14,14166,Italy,68280S,CREAM CUPID HEARTS COAT HANGER,1.29
536498,10,2011-01-24T15:09,16943,Italy,80987I,FOOD STORAGE CONTAINER,13.61
536498,2,2011-01-07T04:09,11485,Italy,77480R,FRUIT & VEG STORAGE BASKET,4.77
536499,15,2011-01-06T15:00,14622,Italy,63404R,FOOD STORAGE CONTAINER,10.13
536500,13,2010-12-09T23:38,11632,Italy,88065Z,FRUIT & VEG STORAGE BASKET,2.52
536501,10,2011-01-04T10:48,17728,Italy,76263I,CREAM CUPID HEARTS COAT HANGER,13.92
536503,3,2011-02-07T04:37,15815,Italy,56973W,FOOD STORAGE CONTAINER,23.68
536504,17,2011-01-30T09:18,15916,Italy,83033Q,FOOD STORAGE CONTAINER,3.01
536506,13,2011-01-13T14:13,15102,Italy,18334Y,WHITE HANGING HEART T-LIGHT HOLDER,21.77
536507,18,2010-12-20T10:18,14690,Italy,62278D,WHITE METAL LANTERN,7.35
536508,14,2010-12-09T13:09,19106,Italy,28705O,GLASS JAR,3.83
536511,3,2010-12-03T17:58,10407,Italy,49292P,CREAM CUPID HEARTS COAT HANGER,19.03
536512,17,2010-12-10T08:24,16917,Italy,97800P,PLASTIC BOTTLE,3.35
536512,2,2011-01-22T09:05,19124,Italy,51689R,FRUIT & VEG STORAGE BASKET,7.42
536514,8,2010-12-15T06:22,12266,Italy,81113F,WOODEN TRAY,2.20
536514,7,2010-12-05T05:19,15962,Italy,52705W,WHITE HANGING HEART T-LIGHT HOLDER,5.53
536516,16,2011-01-15T15:23,17722,Italy,75002D,WHITE METAL LANTERN,17.00
536518,11,2010-12-09T19:14,14478,Italy,80252L,FOOD STORAGE CONTAINER,9.09
536518,7,2010-12-10T01:31,14838,Italy,53391O,WOODEN TRAY,15.18
536519,15,2010-12-20T15:52,11626,Italy,75444B,WHITE METAL LANTERN,2.99
536520,12,2011-01-20T04:07,12543,Italy,57135R,GLASS JAR,12.37
536521,2,2011-01-29T17:52,10599,Italy,14672F,PLASTIC BOTTLE,5.02
536521,19,2011-01-14T02:02,17487,Italy,39703Y,WHITE METAL LANTERN,10.90
536522,7,2011-01-11T07:05,14919,Italy,92368Z,FOOD STORAGE CONTAINER,19.12
536525,7,2010-12-11T18:42,17245,Italy,95085L,WOODEN TRAY,24.74
536529,20,2010-12-31T07:11,14289,Italy,81001J,GLASS JAR,5.31
536530,17,2011-01-16T20:17,18292,Italy,82892E,WOODEN TRAY,24.93
536530,20,2011-01-26T10:38,15268,Italy,46770Q,WHITE METAL LANTERN,2.94
536533,13,2011-01-30T07:25,16898,Italy,12536R,FOOD STORAGE CONTAINER,7.02
536535,11,2010-12-22T10:00,18117,Italy,35210U,FRUIT & VEG STORAGE BASKET,11.64
536537,1,2011-01-16T20:06,11010,Italy,18436S,WHITE HANGING HEART T-LIGHT HOLDER,17.56
536538,1,2011-02-06T00:46,15736,Italy,12979B,WHITE METAL LANTERN,19.45
536541,2,2010-12-21T12:30,10937,Italy,46548W,CREAM CUPID HEARTS COAT HANGER,2.14
536542,5,2010-12-03T19:04,11959,Italy,25001V,PLASTIC BOTTLE,15.10
536543,2,2010-12-25T08:54,17907,Italy,74485M,CREAM CUPID HEARTS COAT HANGER,23.17
536543,1,2010-12-13T09:55,13438,Italy,77787A,WHITE HANGING HEART T-LIGHT HOLDER,14.06
536544,7,2011-01-26T00:14,13252,Italy,79812Q,FOOD STORAGE CONTAINER,3.78
536545,8,2011-01-19T12:49,14946,Italy,85002K,WHITE HANGING HEART T-LIGHT HOLDER,10.89
536546,18,2010-12-19T07:04,17070,Italy,20574W,WHITE HANGING HEART T-LIGHT HOLDER,20.06
536547,16,2011-01-12T04:50,13842,Italy,91472U,PLASTIC BOTTLE,24.53
536548,13,2010-12-15T21:57,16311,Italy,54282R,WOODEN TRAY,13.28
536551,17,2010-12-12T18:18,15180,Italy,68888Z,WHITE METAL LANTERN,14.87
536551,13,2011-01-25T18:49,18875,Italy,44925S,WOODEN TRAY,12.67
536555,17,2011-01-21T16:39,17091,Italy,69221Y,GLASS JAR,6.62
536561,9,2010-12-30T22:28,18230,Italy,83386U,FRUIT & VEG STORAGE BASKET,0.99
536567,13,2010-12-21T08:58,10595,Italy,91158L,CREAM CUPID HEARTS COAT HANGER,19.84
536567,1,2011-02-03T11:37,11328,Italy,34272N,GLASS JAR,14.43
536567,14,2011-02-04T19:52,17767,Italy,37217O,CREAM CUPID HEARTS COAT HANGER,2.99
